author,published_at,updated_at,like_count,text
@cdsisters8961,2024-01-14T04:30:09Z,2024-01-14T04:30:09Z,0,Jay Sri ram
@user-sw8hf9ce8y,2024-01-14T04:29:59Z,2024-01-14T04:29:59Z,0,Waw😊
@cdsisters8961,2024-01-14T04:29:41Z,2024-01-14T04:29:41Z,0,"<a href=""https://www.youtube.com/watch?v=wncNcu6jEgs&amp;t=1m30s"">1:30</a> is best timeing"
@user-mp8pc6cy2l,2024-01-14T04:29:12Z,2024-01-14T04:29:12Z,1,Jai shree Ram
@user-tf7vj8jm9d,2024-01-14T04:28:57Z,2024-01-14T04:28:57Z,0,जयक्षीराम❤❤🙏
@dilkhushchoudhary6655,2024-01-14T04:28:51Z,2024-01-14T04:28:51Z,0,Jay Shree ram 👏🥰
@neetutiwari5048,2024-01-14T04:28:00Z,2024-01-14T04:28:00Z,0,🙏🙏👌👌
@user-ff9np6yp3y,2024-01-14T04:27:55Z,2024-01-14T04:27:55Z,0,Jai shree Ram 🙏🙏
@vikasthakur8712,2024-01-14T04:27:54Z,2024-01-14T04:27:54Z,0,Ram naam sukun hai<br>Ram naam Shanti hai<br>Ram naamMoksh hai.<br>Ram naam Vijay hai <br>Ram naam Shaswat hai
@Mohammad_Tahir07,2024-01-14T04:26:55Z,2024-01-14T04:26:55Z,0,<b>Lindus 🗿.</b>
@Mohammad_Tahir07,2024-01-14T04:26:45Z,2024-01-14T04:26:45Z,0,<b>Gobar bhakts are malding lol 🗿.</b>
@Megatech.90,2024-01-14T04:26:36Z,2024-01-14T04:26:36Z,0,What a voice 🎉
@opshashi5607,2024-01-14T04:26:29Z,2024-01-14T04:26:29Z,0,Jai shree SiyaRam
@Mohammad_Tahir07,2024-01-14T04:26:22Z,2024-01-14T04:26:22Z,0,"<b>Gae shree ram saar! pull saport saar, we&#39;re tanatanis saar and we&#39;ll established chindu rashtra saar 🐮.</b>"
@user-mo1je5cg5i,2024-01-14T04:26:09Z,2024-01-14T04:26:09Z,0,Ye aawaz aapki prabhu shree Ram ka diya hua aashirwad hai  aapko  jai shree ram 🙏🛕
@DesiTeam456,2024-01-14T04:25:43Z,2024-01-14T04:25:43Z,1,"<a href=""https://youtu.be/ppks647axnk?si=1hww-3OrmG6CjHZD"">https://youtu.be/ppks647axnk?si=1hww-3OrmG6CjHZD</a>"
@Mohammad_Tahir07,2024-01-14T04:25:41Z,2024-01-14T04:25:41Z,0,"<b>La ilaha illallah muhammadur rasulullah Bismillah, hir Rahman nir Raheem 🕋☪️.</b>"
@opshashi5607,2024-01-14T04:25:37Z,2024-01-14T04:25:37Z,0,Mind blowing voice<br>Aapki ye bhajan sun kar man or dil ko bahut aaram milta hai Bahut hi madhur aawaj hai aapki aisi mithi aawaj Maine aaj tak nhi suna tha 🪔🪔🙏🙏
@bambamgupta8144,2024-01-14T04:24:05Z,2024-01-14T04:24:05Z,0,Jai shree Ram
@surendrathapa1131,2024-01-14T04:23:22Z,2024-01-14T04:23:22Z,0,जय श्रीराम 🙏जय श्रीराम 🙏जय श्रीराम 🙏जय श्रीराम
@AgamGrade-wz8qf,2024-01-14T04:22:14Z,2024-01-14T04:22:14Z,0,Jai shree Ram ❤
@pawantiwari7643,2024-01-14T04:21:58Z,2024-01-14T04:21:58Z,0,🙏😊🙏
